,freq
inc.,61
full-time,39
of,30
the,26
university,23
llc,21
inc,20
technologies,20
&,18
google,17
technology,17
health,15
group,14
microsoft,13
company,12
foundation,12
by,12
school,11
corporation,11
-,10
capital,10
software,10
systems,10
and,9
stanford,9
consulting,9
(acquired,9
solutions,8
ag,8
ventures,8
cloud,8
media,8
self-employed,8
network,7
radar,7
gmbh,7
uber,7
institute,7
business,7
one,6
salesforce,6
trust.co,6
digital,6
security,6
science,6
startup,6
israel,6
partners,6
robotics,6
apple,5
engineering,5
on,5
berkeley,5
computer,5
global,5
cisco,5
for,5
amazon,5
commerce,5
indiana,4
robocorp,4
marketing,4
high,4
national,4
stellar,4
morgan,4
habu,4
skux,4
facebook,4
|,4
sila,4
/,4
lively,4
dell,4
world,4
labs,4
metropolis,4
mit,4
square,4
medical,4
services,4
logistics,4
at,4
coyote,4
data,4
research,4
here,4
ltd,4
volkswagen,4
urbana-champaign,3
advanced,3
vfiles,3
american,3
lightmatter,3
networks,3
micron,3
teem,3
adobe,3
blocwatch,3
everee,3
axa,3
relay,3
prodperfect,3
illinois,3
px4,3
alliance,3
uc,3
contentstack,3
built.io,3
to,3
b,3
squared,3
salesforce.com,3
forbes,3
tech,3
dataguard,3
"technologies,",3
streamlit,3
capmo,3
venture,3
micro,3
krux,3
center,3
synaos,3
united,3
anyscale,3
buildops,3
management,3
startx.,3
international,3
observe.ai,3
remote,3
deel,3
oxide,3
blackrock,3
spectro,3
city,3
symantec,3
cliqr,3
co–star,3
first,3
zynga,3
de,3
redesign,3
bosch,3
shift.com,3
trust,3
sigma,3
signalwire,3
power,3
snap,3
metacx,3
internet,3
samya.ai,3
ibm,3
legal,3
founders,3
nuvia,3
docly,3
mu,3
tecton,3
limited,3
starbucks,3
freedom,3
forager,3
agency,2
express,2
korea,2
interactive,2
markets,2
gitguardian,2
jewish,2
moving,2
caufield,2
byers,2
peregrine,2
association,2
advisors,2
information,2
sunrise,2
kaskada,2
stack,2
"kyckglobal,",2
delivery,2
demand,2
j.p.,2
24/7,2
move,2
onerail,2
s.a.,2
epsagon,2
magento,2
(acquired),2
defense,2
philly,2
forces,2
web,2
swit,2
asset,2
chronosphere,2
pioneer,2
intelligence,2
corps,2
bbva,2
sirona,2
guardsmen,2
near,2
various,2
flatfile,2
cardfree,2
envoy,2
"california,",2
munich,2
chamber,2
create,2
rjmetrics,2
tum,2
france,2
shujinko,2
lifeslice,2
twaice,2
consultant,2
majelan,2
adventure,2
tide,2
trainual,2
brandcommerce,2
lab,2
ethyca,2
freeswitch,2
barracuda,2
mercent,2
syncari,2
marketsandmarkets™,2
engine,2
care,2
grax,2
pinwheel,2
acquire,2
strategies,2
strala,2
observepoint,2
industry,2
public,2
quantiops,2
alchemy,2
lunch,2
commercehub,2
stroud,2
2,2
helmethub,2
soundcommerce,2
in,2
super{set},2
studio,2
independent,2
marketo,2
perkins,2
axis,2
daimler,2
down,2
platform,2
kleiner,2
target,2
mckinsey,2
youtube,2
managed,2
dropbox,2
#1,2
planetscale,2
communications,2
"rackspace,",2
techstars,2
angels,2
service,2
"partners,",2
axia,2
kerauno,2
dura,2
massachusetts,2
cox,2
siili,2
"ideas,",2
secureclouddb,2
ai,2
nightfall,2
street,2
cloudcheckr,2
eth,2
insurance,2
onmed,2
zoox,2
dronecode,2
stanley,2
factory,2
auterion,2
prime,2
quality,2
project,2
omenia,2
instagrid,2
store,2
fund,2
part-time,2
osano,2
flexera,2
meta,2
saas,2
raw,2
council,2
kodiak,2
chicago,2
devices,2
million,2
degrees,2
holdings,2
smith,2
oy,2
"everee,",2
applied,2
3d,2
shepherd,2
safe,2
postmates,2
compound,2
theatre,2
centre,2
hashable,2
appomni,2
st.,2
grand,2
etsy,2
co.,2
trails,2
bison,2
hale,2
zürich,2
crossbeam,2
an,2
doktor,2
next,2
