Organization Name,Organization Name URL,Industries,Description,CB Rank (Company),LinkedIn,Website,Founders,Headquarters Location
PowerLift,https://www.crunchbase.com/organization/powerlift,"Apps, Fitness, Mobile, Software, Wellness",PowerLift is an app that measures the velocity of a barbell.,"951,122",,,Carlos Balsalobre-Fernández,"Madrid, Madrid, Spain"
VOYZ Ltd.,https://www.crunchbase.com/organization/voyz-ltd,"Information Technology, Messaging, Mobile, Social Media, Software, Telecommunications",VOYZ lets you send self-destructing voice messages and retain the power over the things you share.,"943,133",,http://www.voyz.me,Patrick von der Heyden,"London, England, United Kingdom"
digitaliKa,https://www.crunchbase.com/organization/digitalika,"Consulting, Information Technology, Software",digitaliKa provides Advisory on Strategy/Transformation/Innovation to Boards and Shareholders of Tech/Software companies. We co-invest.,"922,892",https://www.linkedin.com/company/digitalika-digital.innovation.services/about/,http://digitalika.ch,Nicolas Schobinger,"Zug, Zug, Switzerland"
Yipp,https://www.crunchbase.com/organization/yipp,"Information Technology, Internet of Things, Software",Create and Curate Collections of Web Pages with Others,"918,282",https://www.linkedin.com/company/25053244/,http://www.joinyipp.com,"Alex Zekoff, Juan Ordonez","Berkeley, California, United States"
Nobias,https://www.crunchbase.com/organization/nobias,"Artificial Intelligence, Browser Extensions, Content, Machine Learning, News, Predictive Analytics, Productivity Tools, Social News, Software",Software tools that help protect consumers from deceptive or misleading content on the internet.,"907,651",https://www.linkedin.com/company/nobias,https://www.nobias.com,Tania Ahuja,"New York, New York, United States"
DayJob,https://www.crunchbase.com/organization/dayjob,"Automotive, Human Resources, Logistics, Software","As quickly as you can find a ride on Uber, you can find a job on DayJob!","902,910",,,Alex Kull,"Bloomington, Illinois, United States"
Actium,https://www.crunchbase.com/organization/actium-5d85,"Information Technology, Software","Actium helps clients build self-managed, advanced demand generation architectures.","895,738",https://www.linkedin.com/company/actium-bay-group-llc/,,Greg Ness,"San Jose, California, United States"
Kind Coders,https://www.crunchbase.com/organization/kind-coders,Software,Software Company,"895,514",,,Michael D. Johnson,"Washington, District of Columbia, United States"
MDLinkd,https://www.crunchbase.com/organization/mdlinkd,"Electronic Health Record (EHR), Health Care, Medical, Software",SaaS for Medical Practices,"886,510",,https://mdlinkd.com,Maz Ahmadi,"Vancouver, British Columbia, Canada"
Realtor AR,https://www.crunchbase.com/organization/realtor-ar,"Apps, Software, Virtual Reality",Realtor Augmented Reality.,"884,487",https://www.linkedin.com/in/peter-mavronicolas-351937152/,http://www.realtor-ar.com,"*** ***, *** *****","Conifer, Colorado, United States"
